cmpdname,isosmiles
"3,4-Dichloro-N-(4-acetamidophenyl)benzamide",CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)Cl)Cl
N-(1H-Benzotriazol-1-ylmethyl)-4-bromoaniline,C1=CC=C2C(=C1)N=NN2CNC3=CC=C(C=C3)Br
"(R)-6-Allyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",C=CCN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
"2-(3,4-Dimethoxyphenyl)imidazo[2,1-a]isoquinoline",COC1=C(C=C(C=C1)C2=CN3C=CC4=CC=CC=C4C3=N2)OC
"[(3-Ethyl-2,6-dimethylquinolin-4-yl)sulfanyl]acetic acid",CCC1=C(N=C2C=CC(=CC2=C1SCC(=O)O)C)C
"Methanone, 2-benzofuranyl(4-chlorophenyl)-",C1=CC=C2C(=C1)C=C(O2)C(=O)C3=CC=C(C=C3)Cl
[4-(4-Fluoro-phenyl)-piperazin-1-yl]-morpholin-4-yl-methanone,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)N3CCOCC3
"5-(3-Chloro-4-ethoxybenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione",CCOC1=C(C=C(C=C1)C=C2C(=O)NC(=S)NC2=O)Cl
"5-[[3-Methoxy-4-(3-methylbutoxy)phenyl]methylidene]-2-sulfanylidene-1,3-diazinane-4,6-dione",CC(C)CCOC1=C(C=C(C=C1)C=C2C(=O)NC(=S)NC2=O)OC
"N-(2,5-Dimethoxyphenyl)-3,4-dimethylbenzamide",CC1=C(C=C(C=C1)C(=O)NC2=C(C=CC(=C2)OC)OC)C
4-(5-Methyl-3-nitro-pyrazol-1-ylmethyl)-benzoic acid,CC1=CC(=NN1CC2=CC=C(C=C2)C(=O)O)[N+](=O)[O-]
"N-(3,5-Dimethylphenyl)-2-methoxybenzamide",CC1=CC(=CC(=C1)NC(=O)C2=CC=CC=C2OC)C
"2-(5,6-Dichloro-3-ethyl-2-methylbenzimidazol-1-ium-1-yl)ethanol",CCN1C(=[N+](C2=CC(=C(C=C21)Cl)Cl)CCO)C
"1-Phenyl-3-(2,2,6,6-tetramethylpiperidin-4-yl)thiourea",CC1(CC(CC(N1)(C)C)NC(=S)NC2=CC=CC=C2)C
N-Ethyl-4-(2-methoxyphenyl)piperazine-1-carbothioamide,CCNC(=S)N1CCN(CC1)C2=CC=CC=C2OC
2-(4-Fluorophenyl)-2-oxoethyl 2-nitrobenzoate,C1=CC=C(C(=C1)C(=O)OCC(=O)C2=CC=C(C=C2)F)[N+](=O)[O-]
4-[(Naphthylamino)carbonylamino]benzamide,C1=CC=C2C(=C1)C=CC=C2NC(=O)NC3=CC=C(C=C3)C(=O)N
"5-Amino-2-ethyl-6-[(4-oxocyclohexa-2,5-dien-1-ylidene)methyl]-7H-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one",CCC1=NN2C(=C(C(=O)N=C2S1)C=C3C=CC(=O)C=C3)N
3-Tert-butyl-1-tosyl-urea,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC(C)(C)C
1-(Phenoxyacetyl)-4-phenylpiperazine,C1CN(CCN1C2=CC=CC=C2)C(=O)COC3=CC=CC=C3
"(2E)-3-(1,3-Benzodioxol-5-yl)-N-(pyrimidin-2-yl)prop-2-enamide",C1OC2=C(O1)C=C(C=C2)/C=C/C(=O)NC3=NC=CC=N3
2-(4-Bromophenyl)-N-(4-methylpyridin-2-yl)acetamide,CC1=CC(=NC=C1)NC(=O)CC2=CC=C(C=C2)Br
"N-(5-Chloropyridin-2-yl)-2-(2,4-dimethylphenoxy)acetamide",CC1=CC(=C(C=C1)OCC(=O)NC2=NC=C(C=C2)Cl)C
"N-(5-Ethyl-1,3,4-thiadiazol-2-yl)-2,3-dihydro-1,4-benzodioxine-6-carboxamide",CCC1=NN=C(S1)NC(=O)C2=CC3=C(C=C2)OCCO3
"N-(2,1,3-Benzothiadiazol-4-yl)-2-nitrobenzamide",C1=CC=C(C(=C1)C(=O)NC2=CC=CC3=NSN=C32)[N+](=O)[O-]
N-(4-Fluoro-3-nitrophenyl)-2-(4-methylphenoxy)acetamide,CC1=CC=C(C=C1)OCC(=O)NC2=CC(=C(C=C2)F)[N+](=O)[O-]
N-[4-(Diethylamino)phenyl](3-ethoxyphenyl)carboxamide,CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)OCC
N-[4-(4-Acetyl-1-piperazinyl)phenyl]-2-furamide,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CO3
"3-Ethoxy-N-(5-methyl-2,1,3-benzothiadiazol-4-yl)benzamide",CCOC1=CC=CC(=C1)C(=O)NC2=C(C=CC3=NSN=C32)C
N-(4-Fluoro-3-nitrophenyl)[3-(methylethoxy)phenyl]carboxamide,CC(C)OC1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)F)[N+](=O)[O-]
"2-(2,4-Dimethylphenoxy)-N-(4-fluoro-3-nitrophenyl)acetamide",CC1=CC(=C(C=C1)OCC(=O)NC2=CC(=C(C=C2)F)[N+](=O)[O-])C
N-[4-(4-Acetyl-piperazin-1-yl)-phenyl]-benzamide,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3
"(2,1,3-Benzothiadiazol-4-ylamino)[(4-methylphenyl)sulfonyl]methanone",CC1=CC=C(C=C1)S(=O)(=O)C(=O)NC2=CC=CC3=NSN=C32
Cambridge id 6227261,CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)OC)[N+](=O)[O-]
Methyl 2-methyl-6-phenyl-4-(trifluoromethyl)pyridine-3-carboxylate,CC1=C(C(=CC(=N1)C2=CC=CC=C2)C(F)(F)F)C(=O)OC
"N-(6-Methyl-2-phenylimidazo[1,2-a]pyridin-3-yl)propanamide",CCC(=O)NC1=C(N=C2N1C=C(C=C2)C)C3=CC=CC=C3
"2-(3-Bromo-4-methoxyphenyl)-6-methylimidazo[1,2-a]pyridine",CC1=CN2C=C(N=C2C=C1)C3=CC(=C(C=C3)OC)Br
"2-(3-Bromo-4-methoxyphenyl)imidazo[1,2-a]pyridine",COC1=C(C=C(C=C1)C2=CN3C=CC=CC3=N2)Br
"N-(7-Methyl-2-phenylimidazo[1,2-a]pyridin-3-yl)furan-2-carboxamide",CC1=CC2=NC(=C(N2C=C1)NC(=O)C3=CC=CO3)C4=CC=CC=C4
"N-(6-Chloro-2-phenylimidazo[1,2-a]pyridin-3-yl)furan-2-carboxamide",C1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)Cl)NC(=O)C4=CC=CO4
"N-[2-(4-Methylphenyl)imidazo[1,2-a]pyridin-3-yl]furan-2-carboxamide",CC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)NC(=O)C4=CC=CO4
"N-[2-(4-Methylphenyl)imidazo[1,2-a]pyridin-3-yl]propanamide",CCC(=O)NC1=C(N=C2N1C=CC=C2)C3=CC=C(C=C3)C
"N-[7-Methyl-2-(thiophen-2-yl)imidazo[1,2-a]pyridin-3-yl]benzamide",CC1=CC2=NC(=C(N2C=C1)NC(=O)C3=CC=CC=C3)C4=CC=CS4
"(6-Chloro-2-phenyl-imidazo[1,2-a]pyridin-3-yl)-carbamic acid methyl ester",COC(=O)NC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=CC=C3
4-Methyl-3-(2-oxo-2-phenylethoxy)-6H-benzo[c]chromen-6-one,CC1=C(C=CC2=C1OC(=O)C3=CC=CC=C23)OCC(=O)C4=CC=CC=C4
"2-(3,4-Dimethyl-2-oxochromen-7-yloxy)-N,N-dimethylacetamide",CC1=C(C(=O)OC2=C1C=CC(=C2)OCC(=O)N(C)C)C
"N,N-Dimethyl-2-((3,4,8-trimethyl-2-oxo-2H-chromen-7-YL)oxy)acetamide",CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC(=O)N(C)C)C
1-(2-Bromobenzoyl)piperidine-4-carboxamide,C1CN(CCC1C(=O)N)C(=O)C2=CC=CC=C2Br
"N-(1,3-Benzodioxol-5-ylmethyl)-2-(4-methylphenoxy)acetamide",CC1=CC=C(C=C1)OCC(=O)NCC2=CC3=C(C=C2)OCO3
3-(Dimethylamino)-N-(4-pyridyl)benzamide,CN(C)C1=CC=CC(=C1)C(=O)NC2=CC=NC=C2
"N-(2,5-Dimethoxyphenyl)-2-(mesityloxy)acetamide",CC1=CC(=C(C(=C1)C)OCC(=O)NC2=C(C=CC(=C2)OC)OC)C
"N-(2-Ethoxyphenyl)-2-(2,4,6-trimethylphenoxy)acetamide",CCOC1=CC=CC=C1NC(=O)COC2=C(C=C(C=C2C)C)C
N-(5-Chloro-2-methoxyphenyl)-2-(mesityloxy)acetamide,CC1=CC(=C(C(=C1)C)OCC(=O)NC2=C(C=CC(=C2)Cl)OC)C
"N-(2,4-Dimethoxyphenyl)-2-(2,4,6-trimethylphenoxy)acetamide",CC1=CC(=C(C(=C1)C)OCC(=O)NC2=C(C=C(C=C2)OC)OC)C
Cambridge id 6154475,CC1=CC(=O)N2C(=N1)C=C(N2)C3=CC(=CC=C3)F
"2-(2-Chlorophenyl)-5,6-dimethyl-1H-pyrazolo[1,5-a]pyrimidin-7-one",CC1=C(N=C2C=C(NN2C1=O)C3=CC=CC=C3Cl)C
"2-(3-Fluorophenyl)-6,7-dihydro-5H-cyclopenta[d]pyrazolo[1,5-a]pyrimidin-8-ol",C1CC2=C(C1)N=C3C=C(NN3C2=O)C4=CC(=CC=C4)F
Cambridge id 6140272,CC1=CC=C(C=C1)C2=C(C(=NN2)NC(=O)C)C
"4-Ethyl-1-(4-{3-nitrophenyl}-1,3-thiazol-2-yl)-3-methyl-1H-pyrazol-5-ol",CCC1=C(NN(C1=O)C2=NC(=CS2)C3=CC(=CC=C3)[N+](=O)[O-])C
"5-Methyl-2-(3-methylphenyl)-6-prop-2-enyl-8-hydropyrazolo[1,5-a]pyrimidin-7-ol",CC1=CC(=CC=C1)C2=CC3=NC(=C(C(=O)N3N2)CC=C)C
"3,5-Dimethyl-2-(4-methylphenyl)-6-prop-2-enyl-1H-pyrazolo[1,5-a]pyrimidin-7-one",CC1=CC=C(C=C1)C2=C(C3=NC(=C(C(=O)N3N2)CC=C)C)C
"2-(3-Fluorophenyl)-5,7-dimethylpyrazolo[1,5-a]pyrimidine",CC1=CC(=NC2=CC(=NN12)C3=CC(=CC=C3)F)C
1-[4-(2-Methyl-5-phenyl-1H-pyrrol-1-yl)phenyl]ethanone,CC1=CC=C(N1C2=CC=C(C=C2)C(=O)C)C3=CC=CC=C3
Ethyl 1-[(naphthalen-2-yloxy)acetyl]piperidine-4-carboxylate,CCOC(=O)C1CCN(CC1)C(=O)COC2=CC3=CC=CC=C3C=C2
Ethyl 4-(2-naphthalen-2-yloxyacetyl)piperazine-1-carboxylate,CCOC(=O)N1CCN(CC1)C(=O)COC2=CC3=CC=CC=C3C=C2
2-(Naphthalen-2-yloxy)-1-[4-(pyridin-2-yl)piperazin-1-yl]ethanone,C1CN(CCN1C2=CC=CC=N2)C(=O)COC3=CC4=CC=CC=C4C=C3
"3-[5-(Naphthalen-2-yloxymethyl)-[1,2,4]oxadiazol-3-yl]-pyridine",C1=CC=C2C=C(C=CC2=C1)OCC3=NC(=NO3)C4=CN=CC=C4
"(6E)-6-[5-(3,4-Dimethoxyphenyl)-1,2-dihydropyrazol-3-ylidene]cyclohexa-2,4-dien-1-one",COC1=C(C=C(C=C1)C2=NNC(=C2)C3=CC=CC=C3O)OC
1-(3-Phenylpropanoyl)piperidine-4-carboxamide,C1CN(CCC1C(=O)N)C(=O)CCC2=CC=CC=C2
"N,N-Dimethyl-2-(2-nitroindolo[3,2-b]quinolin-10-yl)ethanamine",CN(C)CCN1C2=CC=CC=C2C3=C1C=C4C=C(C=CC4=N3)[N+](=O)[O-]
N~2~-[(4-Ethoxyphenyl)sulfonyl]-N~2~-(4-methylphenyl)glycinamide,CCOC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N)C2=CC=C(C=C2)C
N~2~-(Phenylsulfonyl)-N~2~-[4-(propan-2-yl)phenyl]glycinamide,CC(C)C1=CC=C(C=C1)N(CC(=O)N)S(=O)(=O)C2=CC=CC=C2
N-(4-Fluorophenyl)-N-(methylsulfonyl)glycine,CS(=O)(=O)N(CC(=O)O)C1=CC=C(C=C1)F
N-(2-Phenylethyl)-2-pyrimidin-2-ylsulfanylacetamide,C1=CC=C(C=C1)CCNC(=O)CSC2=NC=CC=N2
N-(3-Chloro-4-methylphenyl)-N-[2-oxo-2-(pyrrolidin-1-yl)ethyl]methanesulfonamide,CC1=C(C=C(C=C1)N(CC(=O)N2CCCC2)S(=O)(=O)C)Cl
2-(4-Methoxy-N-methylsulfonylanilino)-N-(4-methylphenyl)acetamide,CC1=CC=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C
N-(2-Ethylphenyl)-N-[2-(morpholin-4-yl)-2-oxoethyl]methanesulfonamide,CCC1=CC=CC=C1N(CC(=O)N2CCOCC2)S(=O)(=O)C
Methyl [2-bromo(methylsulfonyl)anilino]acetate,COC(=O)CN(C1=CC=CC=C1Br)S(=O)(=O)C
Methyl N-(3-bromophenyl)-N-(methylsulfonyl)glycinate,COC(=O)CN(C1=CC(=CC=C1)Br)S(=O)(=O)C
N-(4-Methoxy-phenyl)-N-(2-oxo-2-pyrrolidin-1-yl-ethyl)-methanesulfonamide,COC1=CC=C(C=C1)N(CC(=O)N2CCCC2)S(=O)(=O)C
Methyl N-(2-methoxy-5-methylphenyl)-N-(methylsulfonyl)glycinate,CC1=CC(=C(C=C1)OC)N(CC(=O)OC)S(=O)(=O)C
2-[N-(4-Methoxyphenyl)methanesulfonamido]acetamide,COC1=CC=C(C=C1)N(CC(=O)N)S(=O)(=O)C
N-(3-Chloro-4-methoxyphenyl)-N-(methylsulfonyl)glycine,COC1=C(C=C(C=C1)N(CC(=O)O)S(=O)(=O)C)Cl
N-(2-Methoxy-5-methylphenyl)-N-(methylsulfonyl)glycine,CC1=CC(=C(C=C1)OC)N(CC(=O)O)S(=O)(=O)C
"2-[(4,6-Dimethylpyrimidin-2-yl)sulfanyl]-N-(2-phenylethyl)acetamide",CC1=CC(=NC(=N1)SCC(=O)NCCC2=CC=CC=C2)C
"N-(2,5-Dimethoxyphenyl)-N-[2-oxo-2-(pyrrolidin-1-yl)ethyl]methanesulfonamide",COC1=CC(=C(C=C1)OC)N(CC(=O)N2CCCC2)S(=O)(=O)C
N-(2-Chlorophenyl)-N-(methylsulfonyl)glycine,CS(=O)(=O)N(CC(=O)O)C1=CC=CC=C1Cl
Methyl N-(2-methylphenyl)-N-(methylsulfonyl)glycinate,CC1=CC=CC=C1N(CC(=O)OC)S(=O)(=O)C
"2-(2,5-Dimethoxy-N-methylsulfonylanilino)acetamide",COC1=CC(=C(C=C1)OC)N(CC(=O)N)S(=O)(=O)C
Methyl N-(2-chlorophenyl)-N-(methylsulfonyl)glycinate,COC(=O)CN(C1=CC=CC=C1Cl)S(=O)(=O)C
2-[N-(4-Methoxyphenyl)benzenesulfonamido]acetamide,COC1=CC=C(C=C1)N(CC(=O)N)S(=O)(=O)C2=CC=CC=C2
2-[(3-Methoxyphenyl)(phenylsulfonyl)amino]-N-methylacetamide,CNC(=O)CN(C1=CC(=CC=C1)OC)S(=O)(=O)C2=CC=CC=C2
"N-(2,3-Dimethylphenyl)-2-(trifluoromethyl)benzamide",CC1=C(C(=CC=C1)NC(=O)C2=CC=CC=C2C(F)(F)F)C
N-(3-Chloro-4-methylphenyl)-N-(methylsulfonyl)glycine,CC1=C(C=C(C=C1)N(CC(=O)O)S(=O)(=O)C)Cl
N-(2-Chlorophenyl)-4-(morpholin-4-ylmethyl)benzamide,C1COCCN1CC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3Cl
N-Benzyl-2-(pyrimidin-2-ylsulfanyl)acetamide,C1=CC=C(C=C1)CNC(=O)CSC2=NC=CC=N2
N-(4-Chloro-phenyl)-N-(2-oxo-2-pyrrolidin-1-yl-ethyl)-methanesulfonamide,CS(=O)(=O)N(CC(=O)N1CCCC1)C2=CC=C(C=C2)Cl
N-(4-Chlorophenyl)-N-(methylsulfonyl)glycine,CS(=O)(=O)N(CC(=O)O)C1=CC=C(C=C1)Cl
2-{(Methylsulfonyl)[3-(trifluoromethyl)phenyl]amino}acetamide,CS(=O)(=O)N(CC(=O)N)C1=CC=CC(=C1)C(F)(F)F
Cambridge id 6166852,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NC)C2=CC=C(C=C2)OC
"Methyl N-(3,5-dichlorophenyl)-N-(methylsulfonyl)glycinate",COC(=O)CN(C1=CC(=CC(=C1)Cl)Cl)S(=O)(=O)C
N-(3-Chlorophenyl)-N-[2-oxo-2-(pyrrolidin-1-yl)ethyl]methanesulfonamide,CS(=O)(=O)N(CC(=O)N1CCCC1)C2=CC(=CC=C2)Cl
Methyl N-(3-chloro-4-methoxyphenyl)-N-(methylsulfonyl)glycinate,COC1=C(C=C(C=C1)N(CC(=O)OC)S(=O)(=O)C)Cl
"N-(3,5-Dichlorophenyl)-N-(methylsulfonyl)glycine",CS(=O)(=O)N(CC(=O)O)C1=CC(=CC(=C1)Cl)Cl
"2-[4-[(E)-(3-Oxo-6,7-dihydro-5H-[1,3]thiazolo[3,2-a]pyrimidin-2-ylidene)methyl]phenoxy]acetamide",C1CN=C2N(C1)C(=O)/C(=C\\C3=CC=C(C=C3)OCC(=O)N)/S2
"N-(3,4-Dimethylphenyl)-N-(methylsulfonyl)glycine",CC1=C(C=C(C=C1)N(CC(=O)O)S(=O)(=O)C)C
2-[N-(3-Nitrophenyl)benzenesulfonamido]acetamide,C1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N)C2=CC(=CC=C2)[N+](=O)[O-]
2-(4-Methyl-N-methylsulfonylanilino)acetic acid,CC1=CC=C(C=C1)N(CC(=O)O)S(=O)(=O)C
"Methyl N-(3,4-dimethylphenyl)-N-(methylsulfonyl)glycinate",CC1=C(C=C(C=C1)N(CC(=O)OC)S(=O)(=O)C)C
N~2~-(4-Methoxyphenyl)-N~2~-[(4-methylphenyl)sulfonyl]glycinamide,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N)C2=CC=C(C=C2)OC
N-(4-Chloro-phenyl)-N-(2-morpholin-4-yl-2-oxo-ethyl)-methanesulfonamide,CS(=O)(=O)N(CC(=O)N1CCOCC1)C2=CC=C(C=C2)Cl
Methyl N-(2-methoxy-5-methylphenyl)-N-(phenylsulfonyl)glycinate,CC1=CC(=C(C=C1)OC)N(CC(=O)OC)S(=O)(=O)C2=CC=CC=C2
"Methyl N-(2,5-dimethoxyphenyl)-N-(methylsulfonyl)glycinate",COC1=CC(=C(C=C1)OC)N(CC(=O)OC)S(=O)(=O)C
Methyl N-(4-methoxyphenyl)-N-(phenylsulfonyl)glycinate,COC1=CC=C(C=C1)N(CC(=O)OC)S(=O)(=O)C2=CC=CC=C2
Methyl 2-(4-methoxy-N-methylsulfonylanilino)acetate,COC1=CC=C(C=C1)N(CC(=O)OC)S(=O)(=O)C
N-(Methylsulfonyl)-N-phenylglycine,CS(=O)(=O)N(CC(=O)O)C1=CC=CC=C1
N-(3-Methylphenyl)-N-(methylsulfonyl)glycine,CC1=CC(=CC=C1)N(CC(=O)O)S(=O)(=O)C
Methyl N-(methylsulfonyl)-N-[3-(trifluoromethyl)phenyl]glycinate,COC(=O)CN(C1=CC=CC(=C1)C(F)(F)F)S(=O)(=O)C
Methyl 2-[N-(3-methylphenyl)methanesulfonamido]acetate,CC1=CC(=CC=C1)N(CC(=O)OC)S(=O)(=O)C
N-Methyl-4-[methyl(phenylsulfonyl)amino]benzamide,CNC(=O)C1=CC=C(C=C1)N(C)S(=O)(=O)C2=CC=CC=C2
[2-Ethyl(methylsulfonyl)anilino]acetic acid,CCC1=CC=CC=C1N(CC(=O)O)S(=O)(=O)C
N-(2-Fluorophenyl)-N-(methylsulfonyl) glycine,CS(=O)(=O)N(CC(=O)O)C1=CC=CC=C1F
N-(2-Bromophenyl)-N-(methylsulfonyl)glycine,CS(=O)(=O)N(CC(=O)O)C1=CC=CC=C1Br
N-(2-Methylphenyl)-N-(methylsulfonyl)glycine,CC1=CC=CC=C1N(CC(=O)O)S(=O)(=O)C
4-Ethyl-N-mesitylbenzenesulfonamide,CCC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2C)C)C
4-Ethoxy-N-mesitylbenzenesulfonamide,CCOC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2C)C)C
"N-Mesityl-2,4-dimethylbenzenesulfonamide",CC1=CC(=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2C)C)C)C
"N-Mesityl-2,5-dimethylbenzenesulfonamide",CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=C(C=C(C=C2C)C)C
"N-(4-Chlorophenyl)-2,5-dimethylbenzenesulfonamide",CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC=C(C=C2)Cl
N-(4-Chlorophenyl)-4-ethoxybenzenesulfonamide,CCOC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)Cl
"N-(2-Methoxyphenyl)-2,4-dimethylbenzenesulfonamide",CC1=CC(=C(C=C1)S(=O)(=O)NC2=CC=CC=C2OC)C
"2,5-Dimethyl-N-phenylbenzenesulfonamide",CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC=CC=C2
"N-(4-{[(2,5-Dimethylphenyl)sulfonyl]amino}phenyl)acetamide",CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC=C(C=C2)NC(=O)C
N-[4-[(3-Ethynylphenyl)sulfamoyl]phenyl]acetamide,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C#C
"2-(4-Chlorophenyl)-N-(1,3-thiazol-2-yl)acetamide",C1=CC(=CC=C1CC(=O)NC2=NC=CS2)Cl
"5-(4-Fluorophenyl)-7-methylpyrazolo[1,5-a]pyrimidine-2-carboxylic acid",CC1=CC(=NC2=CC(=NN12)C(=O)O)C3=CC=C(C=C3)F
"3-Chloro-N-(2,5-dimethylphenyl)-6-methyl-1-benzothiophene-2-carboxamide",CC1=CC(=C(C=C1)C)NC(=O)C2=C(C3=C(S2)C=C(C=C3)C)Cl
"4-Methyl-2-oxo-2H-chromen-6-yl 3,4-dimethoxybenzoate",CC1=CC(=O)OC2=C1C=C(C=C2)OC(=O)C3=CC(=C(C=C3)OC)OC
N-{(Acetylamino)[4-(dimethylamino)phenyl]methyl}acetamide,CC(=O)NC(C1=CC=C(C=C1)N(C)C)NC(=O)C
7-[2-(4-Chlorophenyl)-2-oxoethoxy]-2H-chromen-2-one,C1=CC(=CC2=C1C=CC(=O)O2)OCC(=O)C3=CC=C(C=C3)Cl
7-Ethoxy-4-phenyl-6-propyl-2H-chromen-2-one,CCCC1=CC2=C(C=C1OCC)OC(=O)C=C2C3=CC=CC=C3
Propan-2-yl 5-ethoxy-2-methyl-1-benzofuran-3-carboxylate,CCOC1=CC2=C(C=C1)OC(=C2C(=O)OC(C)C)C
Methyl 2-methyl-5-((4-methylbenzyl)oxy)benzofuran-3-carboxylate,CC1=CC=C(C=C1)COC2=CC3=C(C=C2)OC(=C3C(=O)OC)C
"2-(3-Bromo-4-methoxyphenyl)-7-methylimidazo[1,2-a]pyridine",CC1=CC2=NC(=CN2C=C1)C3=CC(=C(C=C3)OC)Br
1-Phenyl-3-pyrimidin-2-ylurea,C1=CC=C(C=C1)NC(=O)NC2=NC=CC=N2
3-Bromo-N-phenylbenzamide,C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)Br
Methyl 6-bromo-5-methoxy-2-methyl-1-benzofuran-3-carboxylate,CC1=C(C2=CC(=C(C=C2O1)Br)OC)C(=O)OC
Methyl 6-bromo-5-ethoxy-2-methyl-1-benzofuran-3-carboxylate,CCOC1=C(C=C2C(=C1)C(=C(O2)C)C(=O)OC)Br
"2-[(3,4-Dichlorophenyl)carbamoylamino]benzoic acid",C1=CC=C(C(=C1)C(=O)O)NC(=O)NC2=CC(=C(C=C2)Cl)Cl
"2,6-Dichloro-N-(2-methoxyphenyl)benzamide",COC1=CC=CC=C1NC(=O)C2=C(C=CC=C2Cl)Cl
"1-Pyrrolidineacetamide, 2-oxo-N-(phenylmethyl)-",C1CC(=O)N(C1)CC(=O)NCC2=CC=CC=C2
"N-{4-[(4H-1,2,4-Triazol-4-ylamino)sulfonyl]phenyl}acetamide",CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NN2C=NN=C2
"1-[(3-Fluorophenyl)amino]-3-methylpyrido[1,2-a]benzimidazole-4-carbonitrile",CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC(=CC=C4)F)C#N
"9-(Benzyloxy)-7-methyl-2,3-dihydrocyclopenta[c]chromen-4(1H)-one",CC1=CC2=C(C3=C(CCC3)C(=O)O2)C(=C1)OCC4=CC=CC=C4
"7-[(3,4-Dichlorobenzyl)oxy]-4-methyl-2H-chromen-2-one",CC1=CC(=O)OC2=C1C=CC(=C2)OCC3=CC(=C(C=C3)Cl)Cl
"7-[(2,4-Dichlorobenzyl)oxy]-4-methyl-2H-chromen-2-one",CC1=CC(=O)OC2=C1C=CC(=C2)OCC3=C(C=C(C=C3)Cl)Cl
7-[2-(4-Chlorophenyl)-2-oxoethoxy]-4-ethyl-2H-chromen-2-one,CCC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)C3=CC=C(C=C3)Cl
Ethyl 5-[(2-fluorobenzyl)oxy]-2-methyl-1-benzofuran-3-carboxylate,CCOC(=O)C1=C(OC2=C1C=C(C=C2)OCC3=CC=CC=C3F)C
Ethyl 5-[(4-fluorobenzyl)oxy]-2-methyl-1-benzofuran-3-carboxylate,CCOC(=O)C1=C(OC2=C1C=C(C=C2)OCC3=CC=C(C=C3)F)C
5-Ethoxy-2-phenyl-1-benzofuran-3-carboxylic acid,CCOC1=CC2=C(C=C1)OC(=C2C(=O)O)C3=CC=CC=C3
Propan-2-yl 5-(2-ethoxy-2-oxoethoxy)-2-methyl-1-benzofuran-3-carboxylate,CCOC(=O)COC1=CC2=C(C=C1)OC(=C2C(=O)OC(C)C)C
Methyl 5-(2-ethoxy-2-oxoethoxy)-2-methyl-1-benzofuran-3-carboxylate,CCOC(=O)COC1=CC2=C(C=C1)OC(=C2C(=O)OC)C
Methyl 2-methyl-5-(2-oxo-2-phenylethoxy)-1-benzofuran-3-carboxylate,CC1=C(C2=C(O1)C=CC(=C2)OCC(=O)C3=CC=CC=C3)C(=O)OC
Methyl 5-((4-chlorobenzyl)oxy)-2-methylbenzofuran-3-carboxylate,CC1=C(C2=C(O1)C=CC(=C2)OCC3=CC=C(C=C3)Cl)C(=O)OC
Methyl 5-((2-chlorobenzyl)oxy)-2-methylbenzofuran-3-carboxylate,CC1=C(C2=C(O1)C=CC(=C2)OCC3=CC=CC=C3Cl)C(=O)OC
Ethyl 5-(benzyloxy)-2-methyl-1-benzofuran-3-carboxylate,CCOC(=O)C1=C(OC2=C1C=C(C=C2)OCC3=CC=CC=C3)C
5-[(4-Chlorobenzyl)oxy]-2-methyl-1-benzofuran-3-carboxylic acid,CC1=C(C2=C(O1)C=CC(=C2)OCC3=CC=C(C=C3)Cl)C(=O)O
"Methyl 5-[(2,2-dimethylpropanoyl)oxy]-2-methyl-1-benzofuran-3-carboxylate",CC1=C(C2=C(O1)C=CC(=C2)OC(=O)C(C)(C)C)C(=O)OC
